0,1742718731.736129,1742718733.742107,1
3,1742718733.742111,1742718735.772472,4
1,1742718735.772474,1742718737.775065,2
0,1742718737.775067,1742718739.782568,1
3,1742718739.782571,1742718741.816022,4
4,1742718741.816024,1742718743.840519,5
2,1742718743.840521,1742718745.885403,3
2,1742718745.885405,1742718747.905594,3
4,1742718747.905596,1742718749.912130,5
1,1742718749.912132,1742718751.952419,2
0,1742718751.952422,1742718753.982701,1
3,1742718753.982703,1742718756.020065,4
2,1742718756.020067,1742718758.022266,3
4,1742718758.022268,1742718760.047086,5
4,1742718760.047088,1742718762.050407,5
2,1742718762.050409,1742718764.051147,3
1,1742718764.051149,1742718766.056492,2
0,1742718766.056495,1742718768.060508,1
1,1742718768.060511,1742718770.094455,2
3,1742718770.094458,1742718772.096564,4
10,1742718772.096566,1742718774.123025,Five
8,1742718774.123027,1742718776.163835,Three
7,1742718776.163838,1742718778.188332,Two
7,1742718778.188334,1742718780.235319,Two
9,1742718780.235321,1742718782.266288,Four
11,1742718782.266291,1742718784.302436,Six
5,1742718784.302438,1742718786.332533,Zero
13,1742718786.332535,1742718788.333436,Eight
11,1742718788.333438,1742718790.367719,Six
14,1742718790.367721,1742718792.369366,Nine
12,1742718792.369368,1742718794.404622,Seven
5,1742718794.404624,1742718796.439667,Zero
12,1742718796.439669,1742718798.440245,Seven
6,1742718798.440248,1742718800.475147,One
6,1742718800.475149,1742718802.511109,One
13,1742718802.511112,1742718804.512893,Eight
8,1742718804.512896,1742718806.514060,Three
14,1742718806.514063,1742718808.514496,Nine
10,1742718808.514498,1742718810.537890,Five
10,1742718810.537892,1742718812.549816,Five
9,1742718812.549818,1742718814.550131,Four
10,1742718814.550133,1742718816.585973,Five
11,1742718816.585975,1742718818.617396,Six
14,1742718818.617398,1742718820.653489,Nine
9,1742718820.653491,1742718822.682681,Four
12,1742718822.682682,1742718824.682777,Seven
6,1742718824.682778,1742718826.687756,One
13,1742718826.687758,1742718828.719637,Eight
6,1742718828.719638,1742718830.755185,One
13,1742718830.755187,1742718832.792620,Eight
14,1742718832.792623,1742718834.815000,Nine
5,1742718834.815002,1742718836.816295,Zero
8,1742718836.816297,1742718838.817391,Three
5,1742718838.817394,1742718840.830846,Zero
7,1742718840.830849,1742718842.862373,Two
12,1742718842.862375,1742718844.862640,Seven
8,1742718844.862642,1742718846.864746,Three
11,1742718846.864748,1742718848.898291,Six
10,1742718848.898293,1742718850.935508,Five
7,1742718850.935510,1742718852.962256,Two
9,1742718852.962258,1742718855.001016,Four
10,1742718855.001018,1742718857.030839,Five
16,1742718857.030841,1742718859.069310,wrist_down
17,1742718859.069312,1742718861.071502,wrist_left
17,1742718861.071504,1742718863.072811,wrist_left
15,1742718863.072814,1742718865.106034,wrist_up
15,1742718865.106037,1742718867.143902,wrist_up
16,1742718867.143904,1742718869.145007,wrist_down
15,1742718869.145009,1742718871.167672,wrist_up
17,1742718871.167673,1742718873.167793,wrist_left
16,1742718873.167795,1742718875.168380,wrist_down
15,1742718875.168383,1742718877.169694,wrist_up
17,1742718877.169696,1742718879.170114,wrist_left
16,1742718879.170116,1742718881.175423,wrist_down
