0,1742389851.122782,1742389853.127201,1
3,1742389853.127204,1742389855.128187,4
1,1742389855.128189,1742389857.161739,2
2,1742389857.161741,1742389859.199290,3
1,1742389859.199292,1742389861.199417,2
4,1742389861.199420,1742389863.225560,5
0,1742389863.225562,1742389865.270079,1
2,1742389865.270082,1742389867.295205,3
4,1742389867.295207,1742389869.329919,5
3,1742389869.329922,1742389871.335205,4
2,1742389871.335207,1742389873.341122,3
4,1742389873.341124,1742389875.361604,5
0,1742389875.361606,1742389877.365618,1
3,1742389877.365620,1742389879.370037,4
1,1742389879.370039,1742389881.408771,2
3,1742389881.408774,1742389883.409257,4
1,1742389883.409259,1742389885.410871,2
2,1742389885.410873,1742389887.442237,3
0,1742389887.442239,1742389889.476273,1
4,1742389889.476276,1742389891.478670,5
10,1742389891.478672,1742389893.481272,Five
14,1742389893.481274,1742389895.482913,Nine
7,1742389895.482916,1742389897.485696,Two
13,1742389897.485698,1742389899.486525,Eight
13,1742389899.486527,1742389901.509716,Eight
6,1742389901.509718,1742389903.556436,One
12,1742389903.556439,1742389905.557381,Seven
8,1742389905.557384,1742389907.558742,Three
14,1742389907.558744,1742389909.581083,Nine
7,1742389909.581085,1742389911.621736,Two
12,1742389911.621738,1742389913.627671,Seven
6,1742389913.627672,1742389915.654690,One
11,1742389915.654692,1742389917.655710,Six
10,1742389917.655712,1742389919.691970,Five
10,1742389919.691972,1742389921.692823,Five
9,1742389921.692825,1742389923.695661,Four
5,1742389923.695663,1742389925.699732,Zero
5,1742389925.699734,1742389927.723689,Zero
8,1742389927.723692,1742389929.768346,Three
9,1742389929.768348,1742389931.770005,Four
11,1742389931.770007,1742389933.771008,Six
5,1742389933.771010,1742389935.772637,Zero
7,1742389935.772640,1742389937.792700,Two
12,1742389937.792702,1742389939.793807,Seven
9,1742389939.793809,1742389941.794625,Four
10,1742389941.794627,1742389943.801677,Five
8,1742389943.801679,1742389945.842807,Three
14,1742389945.842809,1742389947.864453,Nine
6,1742389947.864455,1742389949.866958,One
11,1742389949.866960,1742389951.870448,Six
12,1742389951.870450,1742389953.871611,Seven
13,1742389953.871613,1742389955.873126,Eight
6,1742389955.873128,1742389957.913417,One
11,1742389957.913420,1742389959.916570,Six
10,1742389959.916573,1742389961.918012,Five
5,1742389961.918014,1742389963.919158,Zero
13,1742389963.919160,1742389965.919288,Eight
7,1742389965.919290,1742389967.949533,Two
8,1742389967.949536,1742389969.985697,Three
9,1742389969.985699,1742389971.986790,Four
14,1742389971.986792,1742389973.991285,Nine
10,1742389973.991287,1742389975.992425,Five
17,1742389975.992427,1742389978.015529,wrist_left
16,1742389978.015531,1742389980.055881,wrist_down
15,1742389980.055883,1742389982.057145,wrist_up
15,1742389982.057148,1742389984.058348,wrist_up
16,1742389984.058351,1742389986.083450,wrist_down
17,1742389986.083453,1742389988.084075,wrist_left
15,1742389988.084078,1742389990.085105,wrist_up
16,1742389990.085108,1742389992.086004,wrist_down
17,1742389992.086006,1742389994.089924,wrist_left
16,1742389994.089926,1742389996.134192,wrist_down
17,1742389996.134195,1742389998.136277,wrist_left
15,1742389998.136279,1742390000.136313,wrist_up
