4,1742874519.158617,1742874521.160574,5
3,1742874521.160577,1742874523.164499,4
4,1742874523.164502,1742874525.168199,5
2,1742874525.168201,1742874527.202313,3
3,1742874527.202316,1742874529.229790,4
0,1742874529.229793,1742874531.234364,1
2,1742874531.234367,1742874533.239277,3
1,1742874533.239279,1742874535.271183,2
0,1742874535.271186,1742874537.271837,1
1,1742874537.271840,1742874539.274930,2
2,1742874539.274932,1742874541.295781,3
3,1742874541.295783,1742874543.296827,4
1,1742874543.296829,1742874545.304956,2
3,1742874545.304959,1742874547.308187,4
2,1742874547.308190,1742874549.308772,3
4,1742874549.308774,1742874551.338811,5
1,1742874551.338813,1742874553.376635,2
0,1742874553.376637,1742874555.381067,1
0,1742874555.381070,1742874557.381742,1
4,1742874557.381744,1742874559.410455,5
10,1742874559.410457,1742874561.454038,Five
5,1742874561.454039,1742874563.474272,Zero
6,1742874563.474274,1742874565.475075,One
10,1742874565.475077,1742874567.476500,Five
9,1742874567.476502,1742874569.487903,Four
10,1742874569.487905,1742874571.517505,Five
11,1742874571.517508,1742874573.522409,Six
8,1742874573.522412,1742874575.523325,Three
13,1742874575.523327,1742874577.561293,Eight
14,1742874577.561295,1742874579.588046,Nine
7,1742874579.588048,1742874581.592142,Two
7,1742874581.592145,1742874583.622273,Two
12,1742874583.622275,1742874585.659617,Seven
6,1742874585.659619,1742874587.665008,One
8,1742874587.665010,1742874589.693552,Three
11,1742874589.693555,1742874591.735044,Six
9,1742874591.735046,1742874593.735839,Four
12,1742874593.735841,1742874595.757415,Seven
5,1742874595.757417,1742874597.757916,Zero
14,1742874597.757918,1742874599.758776,Nine
13,1742874599.758778,1742874601.765906,Eight
10,1742874601.765908,1742874603.806654,Five
6,1742874603.806656,1742874605.832975,One
12,1742874605.832977,1742874607.875296,Seven
14,1742874607.875298,1742874609.908621,Nine
8,1742874609.908623,1742874611.941640,Three
11,1742874611.941642,1742874613.942123,Six
11,1742874613.942126,1742874615.972624,Six
5,1742874615.972626,1742874617.974046,Zero
6,1742874617.974048,1742874620.011421,One
7,1742874620.011423,1742874622.013263,Two
9,1742874622.013265,1742874624.015113,Four
8,1742874624.015115,1742874626.018358,Three
14,1742874626.018360,1742874628.049331,Nine
9,1742874628.049334,1742874630.051761,Four
5,1742874630.051763,1742874632.084446,Zero
12,1742874632.084448,1742874634.085018,Seven
7,1742874634.085020,1742874636.120753,Two
10,1742874636.120755,1742874638.156120,Five
13,1742874638.156123,1742874640.159488,Eight
13,1742874640.159490,1742874642.160087,Eight
10,1742874642.160090,1742874644.191957,Five
17,1742874644.191959,1742874646.221720,wrist_left
16,1742874646.221722,1742874648.225309,wrist_down
15,1742874648.225311,1742874650.226767,wrist_up
17,1742874650.226770,1742874652.229480,wrist_left
15,1742874652.229482,1742874654.259895,wrist_up
16,1742874654.259897,1742874656.260417,wrist_down
17,1742874656.260419,1742874658.296576,wrist_left
17,1742874658.296578,1742874660.336517,wrist_left
15,1742874660.336520,1742874662.372183,wrist_up
16,1742874662.372185,1742874664.372670,wrist_down
16,1742874664.372672,1742874666.374122,wrist_down
15,1742874666.374124,1742874668.374729,wrist_up
