0,1753296288.441850,1753296290.451226,1
3,1753296290.451230,1753296292.487132,4
0,1753296292.487136,1753296294.522467,1
2,1753296294.522469,1753296296.547363,3
3,1753296296.547365,1753296298.551103,4
1,1753296298.551106,1753296300.555509,2
4,1753296300.555511,1753296302.589370,5
4,1753296302.589372,1753296304.589497,5
2,1753296304.589499,1753296306.621617,3
1,1753296306.621620,1753296308.623743,2
0,1753296308.623745,1753296310.624898,1
1,1753296310.624900,1753296312.626009,2
2,1753296312.626011,1753296314.658229,3
1,1753296314.658231,1753296316.660474,2
0,1753296316.660476,1753296318.699273,1
3,1753296318.699275,1753296320.702233,4
3,1753296320.702235,1753296322.729402,4
4,1753296322.729404,1753296324.738157,5
4,1753296324.738160,1753296326.763873,5
2,1753296326.763875,1753296328.770993,3
10,1753296328.770996,1753296330.800661,Five
13,1753296330.800663,1753296332.803984,Eight
14,1753296332.803986,1753296334.804222,Nine
6,1753296334.804224,1753296336.839339,One
9,1753296336.839341,1753296338.874424,Four
6,1753296338.874427,1753296340.906983,One
12,1753296340.906986,1753296342.908101,Seven
7,1753296342.908104,1753296344.941839,Two
11,1753296344.941842,1753296346.943050,Six
8,1753296346.943052,1753296348.943664,Three
9,1753296348.943666,1753296350.945897,Four
5,1753296350.945899,1753296352.980665,Zero
7,1753296352.980668,1753296355.018649,Two
8,1753296355.018652,1753296357.041834,Three
13,1753296357.041836,1753296359.045680,Eight
10,1753296359.045682,1753296361.054129,Five
12,1753296361.054132,1753296363.084050,Seven
10,1753296363.084052,1753296365.123147,Five
5,1753296365.123149,1753296367.155437,Zero
14,1753296367.155440,1753296369.187069,Nine
11,1753296369.187071,1753296371.221154,Six
6,1753296371.221156,1753296373.255502,One
11,1753296373.255504,1753296375.286654,Six
8,1753296375.286657,1753296377.289562,Three
8,1753296377.289564,1753296379.325721,Three
14,1753296379.325723,1753296381.325810,Nine
5,1753296381.325812,1753296383.326143,Zero
9,1753296383.326145,1753296385.330699,Four
14,1753296385.330702,1753296387.358646,Nine
7,1753296387.358648,1753296389.368928,Two
10,1753296389.368930,1753296391.391531,Five
9,1753296391.391533,1753296393.402870,Four
5,1753296393.402873,1753296395.403477,Zero
13,1753296395.403480,1753296397.436261,Eight
6,1753296397.436263,1753296399.460805,One
12,1753296399.460808,1753296401.466872,Seven
11,1753296401.466874,1753296403.468579,Six
12,1753296403.468581,1753296405.470877,Seven
13,1753296405.470879,1753296407.472472,Eight
7,1753296407.472474,1753296409.499607,Two
10,1753296409.499609,1753296411.507950,Five
